Timestamp,ID,Product_Type,eBay_Item_ID,URL,Picture_Count,Unique_Source_Count,Duplicate_Source_Count,Duplicate_Source_Keys,Picture_Slot_Count,Unique_Slot_Source_Count,Duplicate_Slot_Count,Duplicate_Slot_Keys,Result,Title,Error
2026-05-07 21:19:56 -0400,Poster-Academia-0091,Poster,406902887127,https://www.ebay.com/itm/406902887127,10,5,5,i2sAAeSwCy1p~Box:2|0NgAAeSwA9Fp~Boy:2|x78AAeSwyMZp~Boz:2|I4EAAeSw6oxp~Bo0:2|2G4AAeSwcM9p~Bow:2,5,5,0,,OK_DOM_DUPLICATE_ONLY,Smoky Jade Wall Art Celestial Lotus Vintage 12x18 Matte Poster Apartment Decor,
2026-05-07 21:20:05 -0400,Acrylic-Zen-0005,Acrylic,406902893289,https://www.ebay.com/itm/406902893289,10,5,5,8ZQAAeSw5D5p-D7e:2|gJ0AAeSwnflp-D7g:2|1BgAAeSwwplp-D7h:2|SoMAAeSwm6Zp-D7i:2|-q0AAeSwTU5p-D7d:2,5,5,0,,OK_DOM_DUPLICATE_ONLY,Gallery Desk Art Incense Vessel Constellation for Meditation 5x7 Acrylic Photo,
2026-05-07 21:20:14 -0400,Poster-Academia-0002,Poster,406902600741,https://www.ebay.com/itm/406902600741,17,9,8,NRAAAeSwbvhp~BlK:2|p8MAAeSwKuRp~BlL:2|1c4AAeSwLSlp~BlN:2|PFEAAeSwY5xp~BlO:2|YXsAAeSw9Vlp~BlJ:2|5vsAAeSwfCpp~BlP:2|0DEAAeSwyJ5p~BlQ:2|fdAAAeSw7aZp~BlR:2,9,9,0,,OK_DOM_DUPLICATE_ONLY,Deep Work Visual Poster Obsidian Threshold Vintage Mentor Wisdom 12x18 Matte,
2026-05-07 21:20:22 -0400,Acrylic-Zen-0006,Acrylic,406902898909,https://www.ebay.com/itm/406902898909,10,5,5,z2gAAeSwAaFp~Qx0:2|JNoAAeSwcnFp~Qx2:2|TToAAeSwQMdp~Qx3:2|JdoAAeSw0F5p~Qx4:2|pKcAAeSwBKJp~Qxz:2,5,5,0,,OK_DOM_DUPLICATE_ONLY,Meditation Room Jade Relic Phoenix 5x7 Acrylic Block Shelf Decor Gift Study,
2026-05-07 21:20:30 -0400,Poster-Academia-0006,Poster,406903042690,https://www.ebay.com/itm/406903042690,17,9,8,jUAAAeSwh5lp~BmS:2|yQgAAeSwg6Bp~BmT:2|FRUAAeSwCDZp~BmU:2|wEwAAeSw0k5p~BmW:2|JjsAAeSwtz5p~BmR:2|meYAAeSweM9p~BmX:2|mh4AAeSwKnpp~BmY:2|fmoAAeSwrURp~BmY:2,9,9,0,,OK_DOM_DUPLICATE_ONLY,Quiet Luxury Apartment Art Ethereal Torii Scholarly Ascension 12x18 Matte Decor,
2026-05-07 21:20:39 -0400,Poster-Academia-0082,Poster,406902648209,https://www.ebay.com/itm/406902648209,10,5,5,NK8AAeSwNBlp-CDd:2|bDkAAeSwur5p-CDf:2|K6kAAeSw7LFp-CDg:2|hWIAAeSwuqdp-CDh:2|nn0AAeSwPmNp-CDc:2,5,5,0,,OK_DOM_DUPLICATE_ONLY,Vintage Academia Celestial Armillary Codex 12x18 Matte Poster Wall Decor Study,
2026-05-07 21:20:47 -0400,Acrylic-Zen-0007,Acrylic,406903028253,https://www.ebay.com/itm/406903028253,10,5,5,VEkAAeSwrIhp~QyQ:2|0dUAAeSwm7lp~QyR:2|L94AAeSwH-dp~QyS:2|6dcAAeSwpZhp~QyU:2|EAgAAeSwU9Bp~QyP:2,5,5,0,,OK_DOM_DUPLICATE_ONLY,Meditation Room Jade Relic Quiet Luxury 5x7 Acrylic Block Shelf Decor Gift Wall,
2026-05-07 21:20:55 -0400,Acrylic-Zen-0003,Acrylic,406902673249,https://www.ebay.com/itm/406902673249,10,5,5,etwAAeSwhS1p-CPe:2|ibcAAeSwwilp-CPf:2|WX8AAeSwDeVp-CPg:2|acYAAeSwAU9p-CPh:2|XIcAAeSwdRNp-CPd:2,5,5,0,,OK_DOM_DUPLICATE_ONLY,Deep Work Desk Visual Pagoda Fragment Relic Print Floating 5x7 Acrylic Photo,
2026-05-07 21:21:04 -0400,Poster-Academia-0083,Poster,406902669660,https://www.ebay.com/itm/406902669660,10,5,5,UsoAAeSwgntp~Boa:2|AeEAAeSw0t5p~Bob:2|2KwAAeSwhjZp~Boc:2|7woAAeSwv5dp~Bod:2|10gAAeSwQIpp~BoY:2,5,5,0,,OK_DOM_DUPLICATE_ONLY,Quiet Luxury Apartment Art Cosmic Lotus Observatory Steampunk 12x18 Matte Decor,
2026-05-07 21:21:13 -0400,Acrylic-Grimdark-0082,Acrylic,406902633400,https://www.ebay.com/itm/406902633400,10,5,5,fWAAAeSwnflp~Br2:2|OAQAAeSw10Rp~Br3:2|3hYAAeSwcM9p~Br4:2|SbsAAeSw-jZp~Br5:2|p7AAAeSw4GNp~Br0:2,5,5,0,,OK_DOM_DUPLICATE_ONLY,Quiet Luxury Shelf Decor Alchemical Terrarium Withered Mandrake Root 5x7 Gift,
2026-05-07 21:21:22 -0400,Poster-Academia-0084,Poster,406902691983,https://www.ebay.com/itm/406902691983,10,5,5,g0gAAeSwCy1p-CVX:2|VLwAAeSwy6tp-CVZ:2|Lk8AAeSwLFVp-CVa:2|ubEAAeSwzN5p-CVb:2|f2sAAeSwgAxp-CVW:2,5,5,0,,OK_DOM_DUPLICATE_ONLY,Deep Work Visual Poster Astrolabe Chalice Relic Vintage 12x18 Matte Poster Gift,
2026-05-07 21:21:30 -0400,Acrylic-Zen-0008,Acrylic,406903036452,https://www.ebay.com/itm/406903036452,10,5,5,S3IAAeSwJy5p-Fhr:2|ToAAAeSwh5lp-Fhs:2|cUwAAeSwLqJp-Fht:2|VXkAAeSwCbZp-Fhv:2|tNMAAeSwKnpp-Fhq:2,5,5,0,,OK_DOM_DUPLICATE_ONLY,Deep Work Desk Visual Celestial Bonsai Moon Garden for 5x7 Acrylic Photo Block,
2026-05-07 21:21:39 -0400,Acrylic-Grimdark-0083,Acrylic,406902885214,https://www.ebay.com/itm/406902885214,10,5,5,SjoAAeSwM4Zp~BsI:2|6AYAAeSw0bBp~BsJ:2|NdoAAeSwU0hp~BsL:2|f8cAAeSwPABp~BsM:2|vVYAAeSwkJNp~BsH:2,5,5,0,,OK_DOM_DUPLICATE_ONLY,Deep Work Desk Visual Ritual Censer Thurible 5x7 Acrylic Photo Block Office,
2026-05-07 21:21:47 -0400,Acrylic-Zen-0004,Acrylic,406902888077,https://www.ebay.com/itm/406902888077,10,5,5,K-MAAeSwp31p-D4f:2|VPoAAeSwpZhp-D4g:2|aW0AAeSwYbhp-D4h:2|uiUAAeSwpHRp-D4i:2|bH8AAeSwvb1p-D4e:2,5,5,0,,OK_DOM_DUPLICATE_ONLY,Minimal Zen Koi Automaton Spirit 5x7 Acrylic Block Collector Gift Jade Segments,
2026-05-07 21:21:56 -0400,Poster-Zen-0005,Poster,406903033377,https://www.ebay.com/itm/406903033377,10,5,5,q2EAAeSwcM9p~Hmd:2|~TQAAeSwPXpp~Hme:2|nPgAAeSwZXNp~Hmf:2|72QAAeSwkxVp~Hmg:2|Ro0AAeSwFCdp~Hmc:2,5,5,0,,OK_DOM_DUPLICATE_ONLY,Quiet Luxury Jade Wall Art Reading Nook 12x18 Matte Poster Apartment Decor Gift,
2026-05-07 21:22:05 -0400,Acrylic-Zen-0002,Acrylic,406902657898,https://www.ebay.com/itm/406902657898,10,5,5,gsEAAeSwZqJp-CHF:2|o~oAAeSwPmNp-CHG:2|kBsAAeSwQIpp-CHH:2|iK0AAeSwRohp-CHI:2|cyEAAeSwntxp-CHD:2,5,5,0,,OK_DOM_DUPLICATE_ONLY,Quiet Luxury Shelf Decor Ritual Bell Shrine for Meditation 5x7 Acrylic Photo,
2026-05-07 21:22:13 -0400,Acrylic-Academia-0003,Acrylic,406902703464,https://www.ebay.com/itm/406902703464,10,5,5,mXUAAeSwpzNp~BqU:2|59QAAeSw0Ulp~BqW:2|QqcAAeSwSoFp~BqX:2|hSsAAeSw7aZp~BqY:2|yAAAAeSwCm1p~BqT:2,5,5,0,,OK_DOM_DUPLICATE_ONLY,Quiet Luxury Shelf Decor Celestial Orrery Tree Bonsai 5x7 Acrylic Photo Block,
2026-05-07 21:22:22 -0400,Poster-Zen-0001,Poster,406902890971,https://www.ebay.com/itm/406902890971,10,5,5,AdcAAeSwl5xp~BpG:2|13kAAeSw73lp~BpH:2|kAwAAeSwvSpp~BpJ:2|w8EAAeSwsL5p~BpK:2|CVMAAeSw7ztp~BpF:2,5,5,0,,OK_DOM_DUPLICATE_ONLY,Deep Work Visual Poster Bonsai Celestial Gate of Jade 12x18 Matte Poster Deep,
2026-05-07 21:22:31 -0400,Poster-Zen-0002,Poster,406902897663,https://www.ebay.com/itm/406902897663,10,5,5,jzkAAeSwDe5p~Bpb:2|iX4AAeSwSzpp~Bpc:2|nucAAeSwKnpp~Bpd:2|uBAAAeSwpHRp~Bpf:2|JdgAAeSwVqBp~Bpa:2,5,5,0,,OK_DOM_DUPLICATE_ONLY,Reading Nook Wall Decor Phoenix Incense Burner Ritual 12x18 Matte Poster Gift,
2026-05-07 21:22:39 -0400,Poster-Zen-0004,Poster,406903026999,https://www.ebay.com/itm/406903026999,10,5,5,g1EAAeSwrURp~Bpu:2|Ts8AAeSwLqJp~Bpv:2|1bYAAeSwcnFp~Bpw:2|78oAAeSwx-9p~Bpy:2|G54AAeSwCDZp~Bpt:2,5,5,0,,OK_DOM_DUPLICATE_ONLY,Smoky Jade Wall Art Celestial Compass Calm Library 12x18 Matte Poster Library,
2026-05-07 21:22:49 -0400,Poster-Academia-0081,Poster,406902627420,https://www.ebay.com/itm/406902627420,10,5,5,YdwAAeSw-Bhp-B6L:2|URsAAeSwFCdp-B6M:2|d9kAAeSw0rNp-B6O:2|ILAAAeSwSoFp-B6P:2|OGoAAeSwHUxp-B6K:2,5,5,0,,OK_DOM_DUPLICATE_ONLY,Celestial Armillary Navigation Sphere Dark Academia 12x18 Matte Poster Study,
2026-05-07 21:22:57 -0400,Poster-Academia-0085,Poster,406902882943,https://www.ebay.com/itm/406902882943,10,5,5,wNsAAeSwwatp-Dzl:2|Y5cAAeSwx-Bp-Dzm:2|NzMAAeSwm6Zp-Dzo:2|vfsAAeSwwplp-Dzp:2|iFMAAeSwKnpp-Dzk:2,5,5,0,,OK_DOM_DUPLICATE_ONLY,Orrery Lighthouse Beacon 12x18 Matte Poster Gothic Academia Gallery Decor Wall,
